,,,,,,,,
Sl. no.,Date,Adaptation Clinic Name,Village,Union,Problems Found (if any),Advice/ solution given,Point of Service,"Remarks 
(Next Follow up) "
661,08.12.24,Nilganj Adaptation Clinic,Sayedpur,Nilganj,-,Advised on climate adaptive homestead agriculture,Mobile Adaptation Clinic,26.12.24
662,08.12.24,Nilganj Adaptation Clinic,Sayedpur,Nilganj,-,Advised on climate adaptive homestead agriculture,Mobile Adaptation Clinic,26.12.24
663,08.12.24,Nilganj Adaptation Clinic,Hajipur,Nilganj,Yellowish leaf of bottle gourd,Regular irrigation needed and apply urea fertilizer.,Mobile Adaptation Clinic,26.12.24
664,08.12.24,Nilganj Adaptation Clinic,Sayedpur,Nilganj,Sunflower cultivation,Row to row and plant toplant distance 30 inch and 18 inch accordingly.,Mobile Adaptation Clinic,26.12.24
665,08.12.24,Nilganj Adaptation Clinic,Hajipur,Nilganj,Sunflower cultivation,Row to row and plant toplant distance 30 inch and 18 inch accordingly.,Mobile Adaptation Clinic,26.12.24
666,08.12.24,Nilganj Adaptation Clinic,Sayedpur,Nilganj,Land preparation,Apply Tricodarma 3kg/bigha for sunflower and maize land preparaton.,Mobile Adaptation Clinic,26.12.24
667,08.12.24,Nilganj Adaptation Clinic,Sayedpur,Nilganj,Land preparation,Apply Tricodarma 3kg/bigha for sunflower and maize land preparaton.,Mobile Adaptation Clinic,26.12.24
668,08.12.24,Nilganj Adaptation Clinic,Hajipur,Nilganj,-,Advised on climate adaptive homestead agriculture,Mobile Adaptation Clinic,26.12.24
669,08.12.24,Nilganj Adaptation Clinic,Hajipur,Nilganj,-,Advised on climate adaptive homestead agriculture,Mobile Adaptation Clinic,26.12.24
670,08.12.24,Nilganj Adaptation Clinic,Hajipur,Nilganj,Land Preparation,For Sunflower land should be 4-5 plough to loosen the soil and use tricodarma 3kg/bigha at land preparation time.,Mobile Adaptation Clinic,26.12.24
671,08.12.24,Nilganj Adaptation Clinic,Hajipur,Nilganj,Land Preparation,For Sunflower land should be 4-5 plough to loosen the soil and use tricodarma 3kg/bigha at land preparation time.,Mobile Adaptation Clinic,26.12.24
672,11.12.24,Nilganj Adaptation Clinic,Purbo Mostofapur,Nilganj,Wilt of bringal,Affected plant should be destroy and spray copper oxycloride + carbendazim fungicide.,Adaptation clinic,20.12.24
673,12.12.24,Nilganj Adaptation Clinic,Amirabad,Nilganj,Leaf Curl of Bottle gourd,Spray Imidaclorpid insecticide.,Adaptation clinic,20.12.24
674,16.12.24,Nilganj Adaptation Clinic,Neyamotpur,Nilganj,Land Preparation,For Sunflower land should be 4-5 plough to loosen the soil and use tricodarma 3kg/bigha at land preparation time.,Adaptation clinic,20.12.24
675,17.12.24,Nilganj Adaptation Clinic,Neyamotpur,Nilganj,Insect Attack on Brinjal,Use Yellow sticky trap,Adaptation clinic,24.12.24
676,17.12.24,Nilganj Adaptation Clinic,Neyamotour,Nilganj,Land Preparation,For Sunflower land should be 4-5 plough to loosen the soil and use tricodarma 3kg/bigha at land preparation time.,Mobile Adaptation Clinic,02.1.24
677,17.12.24,Nilganj Adaptation Clinic,Islampur,Nilganj,Land Preparation,For Sunflower land should be 4-5 plough to loosen the soil and use tricodarma 3kg/bigha at land preparation time.,Mobile Adaptation Clinic,02.1.24
678,17.12.24,Nilganj Adaptation Clinic,Neyamotour,Nilganj,Fruit fly in bottle gourd,Advised on use pheromon trap,Mobile Adaptation Clinic,02.1.24
679,17.12.24,Nilganj Adaptation Clinic,Neyamotour,Nilganj,Leaf Curl of chili,Suggested to Spray soap water or neem seed soaked water and in severe case spray Imidaclorpid,Mobile Adaptation Clinic,02.1.24
680,17.12.24,Nilganj Adaptation Clinic,Neyamotour,Nilganj,Leaf Curl of chili,Suggested to Spray soap water or neem seed soaked water and in severe case spray Imidaclorpid,Mobile Adaptation Clinic,02.1.24
681,17.12.24,Nilganj Adaptation Clinic,Neyamotour,Nilganj,Sunflower cultivation,Row to row and plant toplant distance 30 inch and 18 inch accordingly.,Mobile Adaptation Clinic,02.1.24
682,17.12.24,Nilganj Adaptation Clinic,Neyamotour,Nilganj,Sunflower cultivation,Row to row and plant toplant distance 30 inch and 18 inch accordingly.,Mobile Adaptation Clinic,02.1.24
683,17.12.24,Nilganj Adaptation Clinic,Neyamotour,Nilganj,Leaf Curl of tomato,Suggested to use yellow sticky trap and spray neem leaf juice with ditergent.In severe case spray Imidaclorpid,Mobile Adaptation Clinic,02.1.24
684,17.12.24,Nilganj Adaptation Clinic,Neyamotour,Nilganj,Leaf Curl of tomato,Suggested to use yellow sticky trap and spray neem leaf juice with ditergent.In severe case spray Imidaclorpid,Mobile Adaptation Clinic,02.1.24
685,17.12.24,Nilganj Adaptation Clinic,Neyamotour,Nilganj,Sunflower cultivation,Sunflower seed should be dry in sun and after cooling soak in water.,Mobile Adaptation Clinic,02.1.24
686,17.12.24,Nilganj Adaptation Clinic,Neyamotour,Nilganj,Sunflower cultivation,Sunflower seed should be dry in sun and after cooling soak in water.,Mobile Adaptation Clinic,02.1.24
687,17.12.24,Nilganj Adaptation Clinic,Neyamotpur,Nilganj,Brown spot on Chilli leaf,Suggested to Spray Copper Oxicloride,Adaptation clinic,24.12.24
688,18.12.24,Nilganj Adaptation Clinic,Islampur,Nilganj,Mosaic on Bottle Gourd,Suggested to Spray Imidacloprid,Adaptation clinic,30.12.24
689,22.12.24,Nilganj Adaptation Clinic,Amirabad,Nilganj,Potato Cultivation,Suggested to use natural mulching and provide proper irrigation.,Mobile Adaptation Clinic,07.1.24
690,22.12.24,Nilganj Adaptation Clinic,Amirabad,Nilganj,Potato Cultivation,Spray Ridomix gold 5g/L,Mobile Adaptation Clinic,07.1.24
691,22.12.24,Nilganj Adaptation Clinic,Amirabad,Nilganj,Downey Mildew of bottle gourd,Spray Mancozeb + Carbendazim in severe case.,Mobile Adaptation Clinic,07.1.24
692,22.12.24,Nilganj Adaptation Clinic,Amirabad,Nilganj,Leaf Curl of chili,Suggested to Spray soap water or neem seed soaked water and in severe case spray Imidaclorpid,Mobile Adaptation Clinic,07.1.24
693,22.12.24,Nilganj Adaptation Clinic,Amirabad,Nilganj,Leaf curl of cucumber,Suggested to Spray soap water or neem seed soaked water and in severe case spray Imidaclorpid,Mobile Adaptation Clinic,07.1.24
694,22.12.24,Nilganj Adaptation Clinic,Amirabad,Nilganj,Leaf curl of cucumber,Suggested to Spray soap water or neem seed soaked water and in severe case spray Imidaclorpid,Mobile Adaptation Clinic,07.1.24
695,22.12.24,Nilganj Adaptation Clinic,Amirabad,Nilganj,Land Preparation,For Sunflower land should be 4-5 plough to loosen the soil and use tricodarma 3kg/bigha at land preparation time.,Mobile Adaptation Clinic,07.1.24
696,22.12.24,Nilganj Adaptation Clinic,Amirabad,Nilganj,Land Preparation,For Sunflower land should be 4-5 plough to loosen the soil and use tricodarma 3kg/bigha at land preparation time.,Mobile Adaptation Clinic,07.1.24
697,22.12.24,Nilganj Adaptation Clinic,Amirabad,Nilganj,Land Preparation,For Sunflower land should be 4-5 plough to loosen the soil and use tricodarma 3kg/bigha at land preparation time.,Mobile Adaptation Clinic,07.1.24
698,22.12.24,Nilganj Adaptation Clinic,Ghutabacha,Nilganj,Scab on Bottle Gourd,Suggested crop rotation,Adaptation clinic,30.12.24
699,24.12.24,Nilganj Adaptation Clinic,Ghutabacha,Nilganj,Wilting of Brinjal,Suggested to apply Copper oxychoride+Carbendazim,Adaptation clinic,30.12.24
700,26.12.24,Nilganj Adaptation Clinic,Neyamotpur,Nilganj,Wilting of Brinjal,Suggested to apply Copper oxychoride+Carbendazim,Adaptation clinic,30.12.24
701,26.12.24,Nilganj Adaptation Clinic,Neyamotpur,Nilganj,Brown spot on Chilli leaf,Suggested to Spray Copper Oxicloride,Adaptation clinic,02.01.25
702,30.12.24,Nilganj Adaptation Clinic,Mostafapur,Nilganj,Leaf Curl of tomato,Suggested to Spray Imidacloprid,Adaptation clinic,02.01.25
703,30.12.24,Nilganj Adaptation Clinic,Haldibariya,Nilganj,Cutworm attack on Maize plant,"Use parching, apply irrigation and Spray kerosine mixture water",Adaptation clinic,02.01.25
704,30.12.24,Nilganj Adaptation Clinic,Nilganj,Nilganj,Leaf Curl  of Tomato,Apply yellow sticky trap and Neem leaf extract and for severe attack apply imidacloprid,Mobile Adaptation Clinic,15.01.25
705,30.12.24,Nilganj Adaptation Clinic,Nilganj,Nilganj,Leaf Curl  of Tomato,Apply yellow sticky trap and Neem leaf extract and for severe attack apply imidacloprid,Mobile Adaptation Clinic,15.01.25
706,30.12.24,Nilganj Adaptation Clinic,Nilganj,Nilganj,Stem rot of tomato,Suggested to apply Mancozeb+Carbendazim,Mobile Adaptation Clinic,15.01.25
707,30.12.24,Nilganj Adaptation Clinic,Nilganj,Nilganj,Stem rot of tomato,Suggested to apply Mancozeb+Carbendazim,Mobile Adaptation Clinic,15.01.25
708,30.12.24,Nilganj Adaptation Clinic,Nilganj,Nilganj,Insect Attack on Pumpkin,Suggested to apply Imidacloprid,Mobile Adaptation Clinic,15.01.25
709,30.12.24,Nilganj Adaptation Clinic,Nilganj,Nilganj,Insect Attack on Pumpkin,Suggested to apply Imidacloprid,Mobile Adaptation Clinic,15.01.25
710,30.12.24,Nilganj Adaptation Clinic,Nilganj,Nilganj,Stunting growth of Mustard,Apply Urea with irrigation,Mobile Adaptation Clinic,15.01.25
711,30.12.24,Nilganj Adaptation Clinic,Nilganj,Nilganj,Suggestion on Mungbean Land Preparation,Ploughing 3-4 times and apply manure and seed sowing should be done in line,Mobile Adaptation Clinic,15.01.25
712,30.12.24,Nilganj Adaptation Clinic,Nilganj,Nilganj,Suggestion on Mungbean Land Preparation,Ploughing 3-4 times and apply manure and seed sowing should be done in line,Mobile Adaptation Clinic,15.01.25
713,30.12.24,Nilganj Adaptation Clinic,Nilganj,Nilganj,Leaf Curl Of Chilli,Suggested to apply Imidacloprid,Mobile Adaptation Clinic,15.01.25
714,30.12.24,Nilganj Adaptation Clinic,Nilganj,Nilganj,Leaf Curl Of Chilli,Suggested to apply Imidacloprid,Mobile Adaptation Clinic,15.01.25
715,30.12.24,Nilganj Adaptation Clinic,Nilganj,Nilganj,Attack of Cabbage Butterfly on Cabbage,Suggested to apply Cypermethrin/Lamdacyhalothrin,Mobile Adaptation Clinic,15.01.25
716,30.12.24,Nilganj Adaptation Clinic,Nilganj,Nilganj,Attack of Cabbage Butterfly on Caulifloer,Suggested to apply Cypermethrin/Lamdacyhalothrin,Mobile Adaptation Clinic,15.01.25
717,02.01.2025,Nilganj Adaptation Clinic,Haldibariya,Nilganj,Yellowing of Watermelon Leaves,Suggested to apply Amister to+Imidacloprid,Adaptation clinic,17.01.24
718,05.01.2025,Nilganj Adaptation Clinic,amirabad,Nilganj,Sunflower cultivation,Thinning out the seedlings and Gap filling,Adaptation clinic,20.01.2025
719,05.01.2025,Nilganj Adaptation Clinic,Amirabad,Nilganj,Fruit fly attack on Bottle gourd,Suggestion given to use Pheromone box and in severe case apply Cypermethrin,Adaptation clinic,20.01.2025
720,06.01.2025,Nilganj Adaptation Clinic,Amirabad,Nilganj,Sunflower cultivation,Thinning out the seedlings and Gap filling,Adaptation clinic,21.01.2025
721,06.01.2025,Nilganj Adaptation Clinic,Amirabad,Nilganj,Amar Bon,Suggested to irrigate the Saplings regularly,Adaptation clinic,21.01.2025
722,06.01.2025,Nilganj Adaptation Clinic,Amirabad,Nilganj,Sunflower cultivation,Thinning out the seedlings and Gap filling,Adaptation clinic,21.01.2025
723,07.01.2025,Nilganj Adaptation Clinic,Sadarpur,Nilganj,Fruit fly attack on Bottle gourd,Suggestion given to use Pheromone box and in severe case apply Cypermethrin,Adaptation clinic,22.01.25
724,07.01.2025,Nilganj Adaptation Clinic,Sadarpur,Nilganj,Drying of young leaves of Maize,Suggested to irrigate land and apply Boron fertilizer,Adaptation clinic,22.01.2025
725,08.01.2025,Nilganj Adaptation Clinic,Sadarpur,Nilganj,Stunting growth of Mustard,Suggested to irrigate land and apply UREA,Mobile Adaptation Clinic,20.01.2025
726,08.01.2025,Nilganj Adaptation Clinic,Sadarpur,Nilganj,Fruit fly attack on Bottle gourd,Suggestion given to use Pheromone box and in severe case apply Cypermethrin,Mobile Adaptation Clinic,20.01.2025
727,08.01.2025,Nilganj Adaptation Clinic,Sadarpur,Nilganj,Drying of young leaves of Maize,Suggested to irrigate land and apply Boron fertilizer,Mobile Adaptation Clinic,20.01.2025
728,08.01.2025,Nilganj Adaptation Clinic,Sadarpur,Nilganj,Maize cultivation,Suggested to irrigate land and apply Boron fertilizer,Mobile Adaptation Clinic,20.01.2025
729,08.01.2025,Nilganj Adaptation Clinic,Sadarpur,Nilganj,Sunflower cultivation,Thinning out the seedlings and Gap filling,Mobile Adaptation Clinic,20.01.2025
730,08.01.2025,Nilganj Adaptation Clinic,Sadarpur,Nilganj,Fruit fly attack on Sweet gourd,Suggestion given to use Pheromone box and in severe case apply Cypermethrin,Mobile Adaptation Clinic,20.01.2025
731,08.01.2025,Nilganj Adaptation Clinic,Sadarpur,Nilganj,Mosaic of Cucumber,Suggested to use yellow sticky trap and apply Imidacloprid,Mobile Adaptation Clinic,20.01.2025
732,08.01.2025,Nilganj Adaptation Clinic,Sadarpur,Nilganj,Maize cultivation,Suggested to irrigate land and apply Boron fertilizer,Mobile Adaptation Clinic,20.01.2025
733,08.01.2025,Nilganj Adaptation Clinic,Sadarpur,Nilganj,Spices cultivation,Suggested to irrigate the seedling regularly,Mobile Adaptation Clinic,20.01.2025
734,08.01.2025,Nilganj Adaptation Clinic,Sadarpur,Nilganj,Mosaic of Sweet Gourd,Suggested to use yellow sticky trap and apply Imidacloprid,Mobile Adaptation Clinic,20.01.2025
735,08.01.2025,Nilganj Adaptation Clinic,Sadarpur,Nilganj,Sunflower cultivation,Thinning out the seedlings and Gap filling,Mobile Adaptation Clinic,20.01.2025
736,08.01.2025,Nilganj Adaptation Clinic,Hazipur,Nilganj,Yellowing leaves of Spices plant,Apply schedule irrigation and suggested to apply compost,Adaptation clinic,23.01.2025
737,09.01.2025,Nilganj Adaptation Clinic,Mozidbariya,Nilganj,Leaf Curl of Chilli,Spray soap water or neem seed soaked water and also suggested to apply Imidacloprid,Adaptation clinic,24.01.2025
738,09.01.2025,Nilganj Adaptation Clinic,Syedpur,Nilganj,Cauliflower culivation related problem,Suggested to irrigate properly and apply flora @2gm/L,Adaptation clinic,24.01.2025
739,14.01.2025,Nilganj Adaptation Clinic,Pakhimara,Nilganj,Leaf Curl of Chilli,Spray soap water or neem seed soaked water and also suggested to apply Imidacloprid,Mobile Adaptation Clinic,29.01.2025
740,14.01.2025,Nilganj Adaptation Clinic,Pakhimara,Nilganj,Leaf Curl of Chilli,Spray soap water or neem seed soaked water and also suggested to apply Imidacloprid,Mobile Adaptation Clinic,29.01.2025
741,14.01.2025,Nilganj Adaptation Clinic,Pakhimara,Nilganj,Leaf Curl of Tomato,Spray soap water or neem seed soaked water and also suggested to apply Imidacloprid,Mobile Adaptation Clinic,29.01.2025
742,14.01.2025,Nilganj Adaptation Clinic,Pakhimara,Nilganj,Leaf Curl of Tomato,Spray soap water or neem seed soaked water and also suggested to apply Imidacloprid,Mobile Adaptation Clinic,29.01.2025
743,14.01.2025,Nilganj Adaptation Clinic,Pakhimara,Nilganj,Leaf Curl of Chilli,"Spray soap water or neem seed soaked water, use yellow sticky trap and also suggested to apply Imidacloprid",Mobile Adaptation Clinic,29.01.2025
744,14.01.2025,Nilganj Adaptation Clinic,Pakhimara,Nilganj,Leaf Curl of Chilli,"Spray soap water or neem seed soaked water, use yellow sticky trap and also suggested to apply Imidacloprid",Mobile Adaptation Clinic,29.01.2025
745,14.01.2025,Nilganj Adaptation Clinic,Pakhimara,Nilganj,Leaf Curl of Chilli,"Spray soap water or neem seed soaked water, use yellow sticky trap and also suggested to apply Imidacloprid",Mobile Adaptation Clinic,29.01.2025
746,14.01.2025,Nilganj Adaptation Clinic,Pakhimara,Nilganj,Leaf Curl of Chilli,"Spray soap water or neem seed soaked water, use yellow sticky trap and also suggested to apply Imidacloprid",Mobile Adaptation Clinic,29.01.2025
747,14.01.2025,Nilganj Adaptation Clinic,Pakhimara,Nilganj,Leaf Curl of Tomato,Spray soap water or neem seed soaked water and also suggested to apply Imidacloprid,Mobile Adaptation Clinic,29.01.2025
748,14.01.2025,Nilganj Adaptation Clinic,Pakhimara,Nilganj,Attack Of Cabbage butterfly on Cauliflower,Suggested to apply Cypermethrin/Lamdacyhalothrin,Mobile Adaptation Clinic,29.01.2025
749,14.01.2025,Nilganj Adaptation Clinic,Pakhimara,Nilganj,Attack Of Cabbage butterfly on Cauliflower,Suggested to apply Cypermethrin/Lamdacyhalothrin,Mobile Adaptation Clinic,29.01.2025
750,16.01.2025,Nilganj Adaptation Clinic,Kumirmara,Nilganj,Aphid attack on yard Long Bean,Suggeted to apply ash and yellow sticky trap,Adaptation clinic,01.02.2025
751,16.01.2025,Nilganj Adaptation Clinic,Kumirmara,Nilganj,Aphid attack on yard Long Bean,Suggeted to apply ash and yellow sticky trap,Adaptation clinic,01.02.2025
752,19.01.2025,Nilganj Adaptation Clinic,Pakhimara,Nilganj,Leaf Curl of Chilli,"Spray soap water or neem seed soaked water, use yellow sticky trap and also suggested to aply Imidacloprid",Adaptation clinic,29.01.2025
753,19.01.2025,Nilganj Adaptation Clinic,Kumirmara,Nilganj,Land Preparation,Suggested to plough land properly and sow seed as fast as possible,Adaptation clinic,29.01.2025
754,19.01.2025,Nilganj Adaptation Clinic,Mostafapur,Nilganj,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation and Fungicide",Mobile Adaptation Clinic,29.01.2025
755,19.01.2025,Nilganj Adaptation Clinic,Mostafapur,Nilganj,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation and Fungicide",Mobile Adaptation Clinic,29.01.2025
756,19.01.2025,Nilganj Adaptation Clinic,Mostafapur,Nilganj,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation and Fungicide",Mobile Adaptation Clinic,29.01.2025
757,19.01.2025,Nilganj Adaptation Clinic,Mostafapur,Nilganj,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation and Fungicide",Mobile Adaptation Clinic,29.01.2025
758,19.01.2025,Nilganj Adaptation Clinic,Mostafapur,Nilganj,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation and Fungicide",Mobile Adaptation Clinic,29.01.2025
759,19.01.2025,Nilganj Adaptation Clinic,Mostafapur,Nilganj,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord@2ml/L water,Mobile Adaptation Clinic,29.01.2025
760,19.01.2025,Nilganj Adaptation Clinic,Mostafapur,Nilganj,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation and Fungicide",Mobile Adaptation Clinic,29.01.2025
761,19.01.2025,Nilganj Adaptation Clinic,Mostafapur,Nilganj,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation and Fungicide",Mobile Adaptation Clinic,29.01.2025
762,19.01.2025,Nilganj Adaptation Clinic,Mostafapur,Nilganj,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation and Fungicide",Mobile Adaptation Clinic,29.01.2025
763,19.01.2025,Nilganj Adaptation Clinic,Mostafapur,Nilganj,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation and Fungicide",Mobile Adaptation Clinic,29.01.2025
